
  1. setup                                          : etime=00:00:00.4    ctime=00:00:01.2    rss= 30.887 Mbyte     virtual= 20.238 Mbyte     
     1. loading mesh                                : etime=00:00:00.1    ctime=00:00:00.1    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
     3. loading circuit components                  : etime=00:00:00.1    ctime=00:00:00.0    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
        3. connectivity check                       : etime=00:00:00.1    ctime=00:00:00.0    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
           1. legacy FindImpedanceLinePaths [TO BE OBSOLETED]: etime=00:00:00.1    ctime=00:00:00.0    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.2    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.2    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.7    rss= 30.453 Mbyte     virtual= 20.035 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.7    rss= 30.434 Mbyte     virtual= 20.035 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.1    rss= 29.023 Mbyte     virtual= 19.324 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.1    rss= 30.293 Mbyte     virtual= 20.035 Mbyte     
        2. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.453 Mbyte     virtual= 20.035 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.2    ctime=00:00:01.2    rss= 52.563 Mbyte     virtual= 42.027 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 52.563 Mbyte     virtual= 42.027 Mbyte     

  4. Frequency 1 GHz                                : etime=00:00:01.0    ctime=00:00:06.1    rss=251.914 Mbyte     virtual=430.078 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.8    rss= 56.145 Mbyte     virtual= 45.867 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 54.586 Mbyte     virtual= 44.539 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss= 56.145 Mbyte     virtual= 45.867 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss= 56.145 Mbyte     virtual= 45.867 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss= 56.145 Mbyte     virtual= 45.867 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss= 56.145 Mbyte     virtual= 45.867 Mbyte     
     4. solving linear system                       : etime=00:00:00.8    ctime=00:00:05.1    rss=251.707 Mbyte     virtual=430.078 Mbyte     
        1. setup solver                             : etime=00:00:00.8    ctime=00:00:04.8    rss=249.613 Mbyte     virtual=428.184 Mbyte     
        2. solve                                    : etime=00:00:00.0    ctime=00:00:00.3    rss=251.688 Mbyte     virtual=430.078 Mbyte     

  5. Frequency 2.66667 GHz                          : etime=00:00:00.7    ctime=00:00:05.3    rss=252.734 Mbyte     virtual=430.938 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:01.8    rss=252.734 Mbyte     virtual=430.938 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=251.930 Mbyte     virtual=430.098 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:01.2    rss=252.734 Mbyte     virtual=430.938 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.5    rss=252.734 Mbyte     virtual=430.938 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=252.734 Mbyte     virtual=430.938 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=252.734 Mbyte     virtual=430.938 Mbyte     
     4. solving linear system                       : etime=00:00:00.5    ctime=00:00:03.4    rss=252.734 Mbyte     virtual=430.938 Mbyte     
        1. setup solver                             : etime=00:00:00.4    ctime=00:00:03.0    rss=252.734 Mbyte     virtual=430.938 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.4    rss=252.734 Mbyte     virtual=430.938 Mbyte     

  6. Frequency 4.33333 GHz                          : etime=00:00:00.7    ctime=00:00:05.1    rss=253.516 Mbyte     virtual=432.164 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:01.7    rss=253.516 Mbyte     virtual=432.164 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=252.734 Mbyte     virtual=430.938 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:01.3    rss=253.516 Mbyte     virtual=432.164 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.5    rss=253.516 Mbyte     virtual=432.164 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=253.516 Mbyte     virtual=432.164 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=253.516 Mbyte     virtual=432.164 Mbyte     
     4. solving linear system                       : etime=00:00:00.5    ctime=00:00:03.3    rss=253.516 Mbyte     virtual=432.164 Mbyte     
        1. setup solver                             : etime=00:00:00.4    ctime=00:00:02.9    rss=253.516 Mbyte     virtual=432.164 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.4    rss=253.516 Mbyte     virtual=432.164 Mbyte     

  7. Frequency 5.16667 GHz                          : etime=00:00:00.7    ctime=00:00:04.5    rss=254.230 Mbyte     virtual=432.953 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=254.230 Mbyte     virtual=432.953 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=253.516 Mbyte     virtual=432.164 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=254.230 Mbyte     virtual=432.953 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.230 Mbyte     virtual=432.953 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.230 Mbyte     virtual=432.953 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.230 Mbyte     virtual=432.953 Mbyte     
     4. solving linear system                       : etime=00:00:00.5    ctime=00:00:03.6    rss=254.230 Mbyte     virtual=432.953 Mbyte     
        1. setup solver                             : etime=00:00:00.4    ctime=00:00:03.2    rss=254.230 Mbyte     virtual=432.953 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.4    rss=254.230 Mbyte     virtual=432.953 Mbyte     

  8. Frequency 4.75 GHz                             : etime=00:00:00.6    ctime=00:00:04.1    rss=254.723 Mbyte     virtual=433.402 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=254.723 Mbyte     virtual=433.402 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.230 Mbyte     virtual=432.953 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=254.723 Mbyte     virtual=433.402 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.723 Mbyte     virtual=433.402 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.723 Mbyte     virtual=433.402 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.723 Mbyte     virtual=433.402 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:03.1    rss=254.723 Mbyte     virtual=433.402 Mbyte     
        1. setup solver                             : etime=00:00:00.4    ctime=00:00:02.8    rss=254.723 Mbyte     virtual=433.402 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.3    rss=254.723 Mbyte     virtual=433.402 Mbyte     

  9. Frequency 1.83333 GHz                          : etime=00:00:00.6    ctime=00:00:04.1    rss=254.723 Mbyte     virtual=433.504 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=254.723 Mbyte     virtual=433.504 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.723 Mbyte     virtual=433.402 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=254.723 Mbyte     virtual=433.504 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.723 Mbyte     virtual=433.504 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.723 Mbyte     virtual=433.504 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.723 Mbyte     virtual=433.504 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:03.1    rss=254.723 Mbyte     virtual=433.504 Mbyte     
        1. setup solver                             : etime=00:00:00.4    ctime=00:00:02.7    rss=254.723 Mbyte     virtual=433.504 Mbyte     
        2. solve                                    : etime=00:00:00.0    ctime=00:00:00.4    rss=254.723 Mbyte     virtual=433.504 Mbyte     

 10. Frequency 1.41667 GHz                          : etime=00:00:00.8    ctime=00:00:04.4    rss=254.875 Mbyte     virtual=433.625 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:01.0    rss=254.875 Mbyte     virtual=433.625 Mbyte     
